date,komoditas,provinsi,harga
2021-02-18,Beras Medium,Jawa Timur,10600.0
2021-02-19,Beras Medium,Jawa Timur,10594.736842105263
2021-02-20,Beras Medium,Jawa Timur,10589.473684210527
2021-02-21,Beras Medium,Jawa Timur,10584.21052631579
2021-02-22,Beras Medium,Jawa Timur,10578.947368421053
2021-02-23,Beras Medium,Jawa Timur,10573.684210526315
2021-02-24,Beras Medium,Jawa Timur,10568.421052631578
2021-02-25,Beras Medium,Jawa Timur,10563.157894736842
2021-02-26,Beras Medium,Jawa Timur,10557.894736842105
2021-02-27,Beras Medium,Jawa Timur,10552.631578947368
2021-02-28,Beras Medium,Jawa Timur,10547.368421052632
2021-03-10,Beras Medium,Banten,9000.0
2021-03-11,Beras Medium,Banten,10000.0
2021-03-12,Beras Medium,Banten,9500.0
2021-03-13,Beras Medium,Banten,9000.0
2021-03-14,Beras Medium,Banten,9750.0
2021-03-15,Beras Medium,Banten,10167.0
2021-03-16,Beras Medium,Banten,10000.0
2021-03-17,Beras Medium,Banten,10457.0
2021-03-18,Beras Medium,Banten,10113.0
2021-03-19,Beras Medium,Banten,9988.0
2021-03-20,Beras Medium,Banten,9983.0
2021-03-21,Beras Medium,Banten,10317.0
2021-03-22,Beras Medium,Banten,9925.0
2021-03-23,Beras Medium,Banten,10113.0
2021-03-24,Beras Medium,Banten,9817.0
2021-03-25,Beras Medium,Banten,10129.0
2021-03-26,Beras Medium,Banten,9925.0
2021-03-27,Beras Medium,Banten,10171.0
2021-03-28,Beras Medium,Banten,10071.0
2021-03-29,Beras Medium,Banten,10143.0
2021-03-30,Beras Medium,Banten,10188.0
2021-03-31,Beras Medium,Banten,10400.0
2021-03-10,Beras Medium,D.I Yogyakarta,10400.0
2021-03-11,Beras Medium,D.I Yogyakarta,9825.0
2021-03-12,Beras Medium,D.I Yogyakarta,7480.0
2021-03-13,Beras Medium,D.I Yogyakarta,9960.0
2021-03-14,Beras Medium,D.I Yogyakarta,10125.0
2021-03-15,Beras Medium,D.I Yogyakarta,9960.0
2021-03-16,Beras Medium,D.I Yogyakarta,9850.0
2021-03-17,Beras Medium,D.I Yogyakarta,10000.0
2021-03-18,Beras Medium,D.I Yogyakarta,9760.0
2021-03-19,Beras Medium,D.I Yogyakarta,9450.0
2021-03-20,Beras Medium,D.I Yogyakarta,9760.0
2021-03-21,Beras Medium,D.I Yogyakarta,9720.0
2021-03-22,Beras Medium,D.I Yogyakarta,9660.0
2021-03-23,Beras Medium,D.I Yogyakarta,9520.0
2021-03-24,Beras Medium,D.I Yogyakarta,9520.0
2021-03-25,Beras Medium,D.I Yogyakarta,9650.0
2021-03-26,Beras Medium,D.I Yogyakarta,9800.0
2021-03-27,Beras Medium,D.I Yogyakarta,9780.0
2021-03-28,Beras Medium,D.I Yogyakarta,9780.0
2021-03-29,Beras Medium,D.I Yogyakarta,9660.0
2021-03-30,Beras Medium,D.I Yogyakarta,9660.0
2021-03-31,Beras Medium,D.I Yogyakarta,9700.0
2021-03-17,Beras Medium,DKI Jakarta,12000.0
2021-03-18,Beras Medium,DKI Jakarta,11373.0
2021-03-19,Beras Medium,DKI Jakarta,11373.0
2021-03-20,Beras Medium,DKI Jakarta,11250.0
2021-03-21,Beras Medium,DKI Jakarta,11250.0
2021-03-22,Beras Medium,DKI Jakarta,11373.0
2021-03-23,Beras Medium,DKI Jakarta,11373.0
2021-03-24,Beras Medium,DKI Jakarta,11200.0
2021-03-25,Beras Medium,DKI Jakarta,11400.0
2021-03-26,Beras Medium,DKI Jakarta,11400.0
2021-03-27,Beras Medium,DKI Jakarta,11333.0
2021-03-28,Beras Medium,DKI Jakarta,11400.0
2021-03-29,Beras Medium,DKI Jakarta,11333.0
2021-03-30,Beras Medium,DKI Jakarta,11333.0
2021-03-31,Beras Medium,DKI Jakarta,11333.0
2021-03-06,Beras Medium,Jawa Barat,10314.0
2021-03-07,Beras Medium,Jawa Barat,10273.0
2021-03-08,Beras Medium,Jawa Barat,10239.0
2021-03-09,Beras Medium,Jawa Barat,10288.0
2021-03-10,Beras Medium,Jawa Barat,10201.0
2021-03-11,Beras Medium,Jawa Barat,10166.0
2021-03-12,Beras Medium,Jawa Barat,7782.0
2021-03-13,Beras Medium,Jawa Barat,10186.0
2021-03-14,Beras Medium,Jawa Barat,10146.0
2021-03-15,Beras Medium,Jawa Barat,10301.0
2021-03-16,Beras Medium,Jawa Barat,10261.0
2021-03-17,Beras Medium,Jawa Barat,10246.0
2021-03-18,Beras Medium,Jawa Barat,10140.0
2021-03-19,Beras Medium,Jawa Barat,10206.0
2021-03-20,Beras Medium,Jawa Barat,10191.0
2021-03-21,Beras Medium,Jawa Barat,10162.0
2021-03-22,Beras Medium,Jawa Barat,10256.0
2021-03-23,Beras Medium,Jawa Barat,10204.0
2021-03-24,Beras Medium,Jawa Barat,10142.0
2021-03-25,Beras Medium,Jawa Barat,10140.0
2021-03-26,Beras Medium,Jawa Barat,10192.0
2021-03-27,Beras Medium,Jawa Barat,10156.0
2021-03-28,Beras Medium,Jawa Barat,10167.0
2021-03-29,Beras Medium,Jawa Barat,10200.0
2021-03-30,Beras Medium,Jawa Barat,10154.0
2021-03-31,Beras Medium,Jawa Barat,10130.0
2021-03-09,Beras Medium,Jawa Tengah,11000.0
2021-03-10,Beras Medium,Jawa Tengah,11000.0
2021-03-11,Beras Medium,Jawa Tengah,11000.0
2021-03-12,Beras Medium,Jawa Tengah,8500.0
2021-03-13,Beras Medium,Jawa Tengah,11000.0
2021-03-14,Beras Medium,Jawa Tengah,11000.0
2021-03-15,Beras Medium,Jawa Tengah,9907.0
2021-03-16,Beras Medium,Jawa Tengah,9991.0
2021-03-17,Beras Medium,Jawa Tengah,9924.0
2021-03-18,Beras Medium,Jawa Tengah,9942.0
2021-03-19,Beras Medium,Jawa Tengah,9778.0
2021-03-20,Beras Medium,Jawa Tengah,9757.0
2021-03-21,Beras Medium,Jawa Tengah,10034.0
2021-03-22,Beras Medium,Jawa Tengah,9852.0
2021-03-23,Beras Medium,Jawa Tengah,9887.0
2021-03-24,Beras Medium,Jawa Tengah,9786.0
2021-03-25,Beras Medium,Jawa Tengah,9796.0
2021-03-26,Beras Medium,Jawa Tengah,9787.0
2021-03-27,Beras Medium,Jawa Tengah,9796.0
2021-03-28,Beras Medium,Jawa Tengah,9796.0
2021-03-29,Beras Medium,Jawa Tengah,9750.0
2021-03-30,Beras Medium,Jawa Tengah,9786.0
2021-03-31,Beras Medium,Jawa Tengah,9783.0
2021-03-01,Beras Medium,Jawa Timur,10542.105263157895
2021-03-02,Beras Medium,Jawa Timur,10536.842105263158
2021-03-03,Beras Medium,Jawa Timur,10531.578947368422
2021-03-04,Beras Medium,Jawa Timur,10526.315789473685
2021-03-05,Beras Medium,Jawa Timur,10521.052631578947
2021-03-06,Beras Medium,Jawa Timur,10515.78947368421
2021-03-07,Beras Medium,Jawa Timur,10510.526315789473
2021-03-08,Beras Medium,Jawa Timur,10505.263157894737
2021-03-09,Beras Medium,Jawa Timur,10500.0
2021-03-10,Beras Medium,Jawa Timur,10500.0
2021-03-11,Beras Medium,Jawa Timur,10466.6
2021-03-12,Beras Medium,Jawa Timur,10433.2
2021-03-13,Beras Medium,Jawa Timur,10399.8
2021-03-14,Beras Medium,Jawa Timur,10366.4
2021-03-15,Beras Medium,Jawa Timur,10333.0
2021-03-16,Beras Medium,Jawa Timur,10180.0
2021-03-17,Beras Medium,Jawa Timur,10239.0
2021-03-18,Beras Medium,Jawa Timur,10174.0
2021-03-19,Beras Medium,Jawa Timur,10274.0
2021-03-20,Beras Medium,Jawa Timur,10246.0
2021-03-21,Beras Medium,Jawa Timur,10240.0
2021-03-22,Beras Medium,Jawa Timur,10190.0
2021-03-23,Beras Medium,Jawa Timur,10193.0
2021-03-24,Beras Medium,Jawa Timur,10161.0
2021-03-25,Beras Medium,Jawa Timur,10173.0
2021-03-26,Beras Medium,Jawa Timur,10215.0
2021-03-27,Beras Medium,Jawa Timur,10201.0
2021-03-28,Beras Medium,Jawa Timur,10067.0
2021-03-29,Beras Medium,Jawa Timur,10199.0
2021-03-30,Beras Medium,Jawa Timur,10185.0
2021-03-31,Beras Medium,Jawa Timur,10190.0
2021-04-01,Beras Medium,Banten,10125.0
2021-04-02,Beras Medium,Banten,10125.0
2021-04-03,Beras Medium,Banten,10125.0
2021-04-04,Beras Medium,Banten,10125.0
2021-04-05,Beras Medium,Banten,10125.0
2021-04-06,Beras Medium,Banten,10213.0
2021-04-07,Beras Medium,Banten,10063.0
2021-04-08,Beras Medium,Banten,10533.0
2021-04-09,Beras Medium,Banten,10000.0
2021-04-10,Beras Medium,Banten,9938.0
2021-04-11,Beras Medium,Banten,9857.0
2021-04-12,Beras Medium,Banten,10025.0
2021-04-13,Beras Medium,Banten,10071.0
2021-04-14,Beras Medium,Banten,10171.0
2021-04-15,Beras Medium,Banten,9880.0
2021-04-16,Beras Medium,Banten,10075.0
2021-04-17,Beras Medium,Banten,9867.0
2021-04-18,Beras Medium,Banten,9886.0
2021-04-19,Beras Medium,Banten,9957.0
2021-04-20,Beras Medium,Banten,9957.0
2021-04-21,Beras Medium,Banten,10025.0
2021-04-22,Beras Medium,Banten,9963.0
2021-04-23,Beras Medium,Banten,10025.0
2021-04-24,Beras Medium,Banten,10171.0
2021-04-25,Beras Medium,Banten,10025.0
2021-04-26,Beras Medium,Banten,10025.0
2021-04-27,Beras Medium,Banten,10214.0
2021-04-28,Beras Medium,Banten,9857.0
2021-04-29,Beras Medium,Banten,10000.0
2021-04-30,Beras Medium,Banten,10000.0
2021-04-01,Beras Medium,D.I Yogyakarta,9840.0
2021-04-02,Beras Medium,D.I Yogyakarta,9820.0
2021-04-03,Beras Medium,D.I Yogyakarta,9820.0
2021-04-04,Beras Medium,D.I Yogyakarta,9820.0
2021-04-05,Beras Medium,D.I Yogyakarta,9820.0
2021-04-06,Beras Medium,D.I Yogyakarta,9820.0
2021-04-07,Beras Medium,D.I Yogyakarta,9820.0
2021-04-08,Beras Medium,D.I Yogyakarta,9975.0
2021-04-09,Beras Medium,D.I Yogyakarta,9800.0
2021-04-10,Beras Medium,D.I Yogyakarta,9760.0
2021-04-11,Beras Medium,D.I Yogyakarta,9950.0
2021-04-12,Beras Medium,D.I Yogyakarta,9950.0
2021-04-13,Beras Medium,D.I Yogyakarta,9950.0
2021-04-14,Beras Medium,D.I Yogyakarta,9660.0
2021-04-15,Beras Medium,D.I Yogyakarta,9600.0
2021-04-16,Beras Medium,D.I Yogyakarta,9375.0
2021-04-17,Beras Medium,D.I Yogyakarta,9600.0
2021-04-18,Beras Medium,D.I Yogyakarta,9600.0
2021-04-19,Beras Medium,D.I Yogyakarta,9475.0
2021-04-20,Beras Medium,D.I Yogyakarta,9850.0
2021-04-21,Beras Medium,D.I Yogyakarta,9580.0
2021-04-22,Beras Medium,D.I Yogyakarta,9500.0
2021-04-23,Beras Medium,D.I Yogyakarta,9875.0
2021-04-24,Beras Medium,D.I Yogyakarta,9450.0
2021-04-25,Beras Medium,D.I Yogyakarta,9600.0
2021-04-26,Beras Medium,D.I Yogyakarta,9600.0
2021-04-27,Beras Medium,D.I Yogyakarta,9600.0
